Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2019,2476.96,2510.03,2519.49,2467.47,2128120576
03-Jan-2019,2491.92,2447.89,2493.14,2443.96,2587297280
04-Jan-2019,2474.33,2531.94,2538.07,2474.33,2528558336
07-Jan-2019,2535.61,2549.69,2566.16,2524.56,2397813504
08-Jan-2019,2568.11,2574.41,2579.82,2547.56,2330456320
09-Jan-2019,2580.00,2584.96,2595.32,2568.89,2366510080
10-Jan-2019,2573.51,2596.64,2597.82,2562.02,2223604736
11-Jan-2019,2588.11,2596.26,2596.27,2577.40,1986762112
14-Jan-2019,2580.31,2582.61,2589.32,2570.41,2157415424
15-Jan-2019,2585.10,2610.30,2613.08,2585.10,2217572608
16-Jan-2019,2614.75,2616.10,2625.76,2612.68,2339469312
17-Jan-2019,2609.28,2635.96,2645.06,2606.36,2390326784
18-Jan-2019,2651.27,2670.71,2675.47,2647.58,2564456960
22-Jan-2019,2657.88,2632.90,2657.88,2617.27,2515675648
23-Jan-2019,2643.48,2638.70,2653.19,2612.86,2127983104
24-Jan-2019,2638.84,2642.33,2647.20,2627.01,2389385472
25-Jan-2019,2657.44,2664.76,2672.38,2657.33,2450628352
28-Jan-2019,2644.97,2643.85,2644.97,2624.06,2186417152
29-Jan-2019,2644.89,2640.00,2650.93,2631.05,2081139328
30-Jan-2019,2653.62,2681.05,2690.44,2648.34,2326313472
31-Jan-2019,2685.49,2704.10,2708.95,2678.65,3155724032
01-Feb-2019,2702.32,2706.53,2716.66,2696.88,2311229952
04-Feb-2019,2706.49,2724.87,2724.99,2698.75,1990998400
05-Feb-2019,2728.34,2737.70,2738.98,2724.03,2054628224
06-Feb-2019,2735.05,2731.61,2738.08,2724.15,1965315456
07-Feb-2019,2717.53,2706.05,2719.32,2687.26,2334418688
08-Feb-2019,2692.36,2707.88,2708.07,2681.83,2070698240
11-Feb-2019,2712.40,2709.80,2718.05,2703.79,1887567104
12-Feb-2019,2722.61,2744.73,2748.19,2722.61,2150153472
13-Feb-2019,2750.30,2753.03,2761.85,2748.63,2017871744
14-Feb-2019,2743.50,2745.73,2757.90,2731.23,2093768064
15-Feb-2019,2760.24,2775.60,2775.66,2760.24,2296040192
19-Feb-2019,2769.28,2779.76,2787.33,2767.29,1985971200
20-Feb-2019,2779.05,2784.70,2789.88,2774.06,2093619456
21-Feb-2019,2780.24,2774.88,2781.58,2764.55,1979441536
22-Feb-2019,2780.67,2792.67,2794.20,2779.11,2077896320
25-Feb-2019,2804.35,2796.11,2813.49,2794.99,2286697472
26-Feb-2019,2792.36,2793.90,2803.12,2789.47,2049901952
27-Feb-2019,2787.50,2792.38,2795.76,2775.13,2176285952
28-Feb-2019,2788.11,2784.49,2793.73,2782.51,2528172288
01-Mar-2019,2798.22,2803.69,2808.02,2787.38,2295527424
04-Mar-2019,2814.37,2792.81,2816.88,2767.66,2284175872
05-Mar-2019,2794.41,2789.65,2796.44,2782.97,2142384896
06-Mar-2019,2790.27,2771.45,2790.27,2768.69,2146441600
07-Mar-2019,2766.53,2748.93,2767.25,2739.09,2268137984
08-Mar-2019,2730.79,2743.07,2744.13,2722.27,1996793344
11-Mar-2019,2747.61,2783.30,2784.00,2747.61,2082162560
12-Mar-2019,2787.34,2791.52,2798.32,2786.73,1998531712
13-Mar-2019,2799.78,2810.92,2821.24,2799.78,2146659456
14-Mar-2019,2810.38,2808.48,2815.00,2803.46,2027827072
15-Mar-2019,2810.79,2822.48,2830.73,2810.79,3572799744
18-Mar-2019,2822.61,2832.94,2835.41,2821.99,1972288384
19-Mar-2019,2840.76,2832.57,2852.42,2823.27,2168826368
20-Mar-2019,2831.34,2824.23,2843.54,2812.43,2288527360
21-Mar-2019,2819.72,2854.88,2860.31,2817.38,2295613696
22-Mar-2019,2844.52,2800.71,2846.16,2800.47,2450095872
25-Mar-2019,2796.01,2798.36,2809.79,2785.02,1906057728
26-Mar-2019,2812.66,2818.46,2829.87,2803.99,1945532800
27-Mar-2019,2819.72,2805.37,2825.56,2787.72,1989603200
28-Mar-2019,2809.40,2815.44,2819.71,2798.77,1739660288
29-Mar-2019,2828.27,2834.40,2836.03,2819.23,2152456448
01-Apr-2019,2848.63,2867.19,2869.40,2848.63,2051309696
02-Apr-2019,2868.24,2867.24,2872.90,2858.75,1825777792
03-Apr-2019,2876.09,2873.40,2885.25,2865.17,2183398400
04-Apr-2019,2873.99,2879.39,2881.28,2867.14,1715158144
05-Apr-2019,2884.16,2892.74,2893.24,2882.99,1702978432
08-Apr-2019,2888.46,2895.77,2895.95,2880.78,1719262976
09-Apr-2019,2886.58,2878.20,2886.88,2873.33,1686689792
10-Apr-2019,2881.37,2888.21,2889.71,2879.13,1575625984
11-Apr-2019,2891.92,2888.32,2893.42,2881.99,1606455552
12-Apr-2019,2900.86,2907.41,2910.54,2898.37,2141008768
15-Apr-2019,2908.32,2905.58,2909.60,2896.48,1704953344
16-Apr-2019,2912.26,2907.06,2916.06,2900.71,2035190656
17-Apr-2019,2916.04,2900.45,2918.00,2895.45,2273149440
18-Apr-2019,2904.81,2905.03,2908.40,2891.90,2061242112
22-Apr-2019,2898.78,2907.97,2909.51,2896.35,1718583808
23-Apr-2019,2909.99,2933.68,2936.31,2908.53,2123237504
